SMILES,Run,Ligand,gasa,QED,caco2,MDCK,PPB,logVDss,Fu,LM-human,cl-plasma,DILI,Nephrotoxicity-DI,Neurotoxicity-DI,Hematotoxicity,A549
C[C@]12CCCC[C@H]1C(=O)O[C@](C)(C(=O)N[C@H]1CCC[C@]3(n4cnnn4)CCCC[C@H]13)C2,4,ligand_35,1,0.741,-4.76592553,-4.695001083,85.53650038,-0.2192204109,15.22921353,0.9219727516,5.177627636,0.7454094291,0.8311567307,0.7470188737,0.2065042704,0.14571926
C[C@H]1CC[C@@H]2C(=O)O[C@@H](/C(O)=N/[C@@H]3CCC[C@@H]4CCCC[C@]43n3c[nH+]nn3)C[C@H]2C1,4,ligand_37,1,0.461,-4.940214072,-4.784524289,81.95024328,0.09940341892,17.33386252,0.1658988595,2.387135204,0.9008263946,0.9154926538,0.1023665816,0.5554538369,0.1741926968
C[C@]12CCCC[C@H]1C[C@@H](n1c[nH+]n[nH+]1)C[C@@H]2/N=C(/O)[C@]1(C)Cc2ccccc2C(=O)O1,4,ligand_39,1,0.459,-5.05608545,-4.663708467,94.41628584,0.03172536828,5.197938956,0.1680476516,2.892188045,0.9848816395,0.8629238009,0.3587220609,0.2475099117,0.0280849766
Cc1cc[nH+]n1[C@]12CCCC[C@H]1[C@@H]([N-]C(=O)[C@@]1(C)Cc3ccccc3C(=O)O1)CCC2,4,ligand_40,1,0.763,-4.688687749,-4.700940972,93.52790355,-0.2137064873,6.143507946,0.9874881506,2.098494156,0.7887892723,0.7759545445,0.1787262708,0.1382308602,0.08652140945
CC1=C[C@@H](C)C[C@@H]2C[C@@](C)(C(=O)[N-][C@H]3CCC[C@]4(n5cn[nH+]n5)CCCC[C@H]34)OC(=O)[C@H]12,4,ligand_42,1,0.571,-5.00119891,-4.659032125,94.45311091,-0.06770935763,5.471534418,0.5592790246,4.437716694,0.8324927092,0.7675210834,0.2604025006,0.3951893151,0.4436354041
Cc1cc[nH+]n1[C@H]1CC[C@H]([N-]C(=O)[C@]2(C)Cc3ccccc3C(=O)O2)[C@@]2(C#N)CCCC[C@@H]12,4,ligand_43,1,0.722,-4.811029723,-4.556809015,83.24344763,0.03286767104,12.77962645,0.5012626052,2.773050957,0.9684892297,0.9437894225,0.4143033922,0.03980451822,0.0406495668
Cc1cc[nH+]n1[C@@H]1CC[C@@H](NC(=O)[C@]2(C)Cc3ccccc3C(=O)O2)[C@@]2(C#N)CCCC[C@@H]12,4,ligand_45,1,0.722,-4.763229279,-4.530206556,83.09206266,0.03171357962,11.78203035,0.5818751454,2.840029703,0.9503270388,0.8965478539,0.4274442196,0.07301853597,0.03589792177
C=C1CCC[C@@H]2C[C@@H](/C(O)=N/c3cc(-n4c[nH+]n[nH+]4)cc4ccccc34)OC(=O)[C@@H]12,4,ligand_51,1,0.31,-4.839102901,-4.665532303,96.76364915,-0.2789241083,3.433884015,0.5168557167,1.918977835,0.9849993587,0.9487826824,0.8532878757,0.5113005638,0.1859175712
CC(=O)N1CCc2ccc(C/N=C(\O)[C@H]3C[C@@H](O)C3)cc2[C@@H]1[C@]1(C)Cc2ccccc2C(=O)O1,4,ligand_53,1,0.411,-5.344479972,-5.045460316,96.51070128,0.06003895145,3.148282992,0.009074868634,3.001141335,0.9973134398,0.9592388272,0.3283040524,0.02961681224,0.001034036162
Cc1cc[nH+]n1[C@]12CCCC[C@H]1[C@@H](/N=C(/O)C[C@H]1OC(=O)c3ccccc31)CCC2,4,ligand_54,1,0.445,-4.999587045,-4.740156561,95.80898339,-0.4416512825,3.7901056,0.6875001192,3.779256326,0.9892760515,0.7531115413,0.2489204705,0.1613089591,0.01658887602
C[C@@]12CCCC[C@H]1C(=O)O[C@H](C(=O)Nc1cc(-n3cnn[nH+]3)cc3ccccc13)C2,4,ligand_56,1,0.672,-4.625363618,-4.694502992,95.88765687,-0.3260333529,3.669933504,0.9583470225,3.996422937,0.9825412631,0.9986277819,0.9684327245,0.7779102325,0.511775434
CC1=C[C@@H](C)C[C@H]2C[C@](C)(C(=O)[N-]c3cc(-n4[nH+]ccc4C)ccc3Cl)OC(=O)[C@@H]12,4,ligand_58,1,0.569,-5.317636284,-4.920256628,97.08320554,0.2059182086,2.437661509,0.879001081,4.996802409,0.9736886621,0.9737520218,0.857393086,0.5423513055,0.5355967879
C[C@]1(/C(O)=N/[C@@H]2CCC[C@]3(n4c[nH+]n[nH+]4)CCCC[C@@H]23)Cc2ccccc2C(=O)O1,4,ligand_60,1,0.474,-4.73360789,-4.666214931,93.11553239,-0.02589709187,7.191835377,0.948207438,1.869727778,0.8899999261,0.6267846227,0.2456236631,0.1944340467,0.0681752488
